wavelength	blaze	order
973.6800688691	0.3424197307	149
973.6944212663	0.3450152268	149
973.7087692620	0.3476218843	149
973.7231128486	0.3501765247	149
973.7374520187	0.3529134783	149
973.7517867647	0.3555799242	149
973.7661170791	0.3583265272	149
973.7804429359	0.3610865027	149
973.7947643413	0.3638209701	149
973.8090812924	0.3664889819	149
973.8233937820	0.3690189398	149
973.8377018024	0.3716792297	149
973.8520053462	0.3743765013	149
973.8663044061	0.3769473159	149
973.8805989746	0.3794143667	149
973.8948890443	0.3819635024	149
973.9091746078	0.3842930633	149
973.9234556577	0.3868556953	149
973.9377321793	0.3893947424	149
973.9520041563	0.3920651858	149
973.9662715975	0.3946639253	149
973.9805344957	0.3974991994	149
973.9947928435	0.4003603404	149
974.0090466336	0.4031688469	149
974.0232958587	0.4059874136	149
974.0375405116	0.4088790038	149
974.0517805849	0.4116941416	149
974.0660160714	0.4145029630	149
974.0802469638	0.4172689713	149
974.0944732550	0.4200154351	149
974.1086949178	0.4228476248	149
974.1229119606	0.4257845078	149
974.1371243804	0.4284972883	149
974.1513321701	0.4312242071	149
974.1655353224	0.4337210874	149
974.1797338302	0.4365336314	149
974.1939276864	0.4393031960	149
974.2081168837	0.4420614854	149
974.2223014152	0.4448461704	149
974.2364812736	0.4476107974	149
974.2506564518	0.4505765152	149
974.2648269344	0.4534301158	149
974.2789927066	0.4561972806	149
974.2931537773	0.4590772977	149
974.3073101396	0.4619532664	149
974.3214617863	0.4643692004	149
974.3356087104	0.4670722769	149
974.3497509050	0.4699107437	149
974.3638883629	0.4726655419	149
974.3780210772	0.4755325771	149
974.3921490410	0.4783575511	149
974.4062722472	0.4811992326	149
974.4203906889	0.4839989472	149
974.4345043377	0.4868245636	149
974.4486132046	0.4897182334	149
974.4627172861	0.4925103033	149
974.4768165753	0.4951449758	149
974.4909110653	0.4978986345	149
974.5050007492	0.5007972928	149
974.5190856201	0.5037660810	149
974.5331656712	0.5063480837	149
974.5472408956	0.5090517676	149
974.5613112865	0.5120681664	149
974.5753768371	0.5152253235	149
974.5894375308	0.5181373848	149
974.6034933548	0.5210726709	149
974.6175443179	0.5239213770	149
974.6315904134	0.5271263420	149
974.6456316345	0.5301527524	149
974.6596679744	0.5330497800	149
974.6736994264	0.5357873903	149
974.6877259837	0.5386445555	149
974.7017476396	0.5415795397	149
974.7157643874	0.5442917827	149
974.7297762205	0.5469872642	149
974.7437831319	0.5498016187	149
974.7577850922	0.5527816000	149
974.7717821148	0.5557354737	149
974.7857741959	0.5584147363	149
974.7997613287	0.5609630427	149
974.8137435067	0.5636773569	149
974.8277207231	0.5665678543	149
974.8416929715	0.5692822203	149
974.8556602451	0.5720224082	149
974.8696225374	0.5747124821	149
974.8835798419	0.5776320069	149
974.8975321519	0.5805703013	149
974.9114794501	0.5833453321	149
974.9254217253	0.5861016032	149
974.9393589865	0.5888423349	149
974.9532912269	0.5918971300	149
974.9672184401	0.5948747611	149
974.9811406196	0.5975980787	149
974.9950577590	0.6001760578	149
975.0089698517	0.6028834556	149
975.0228768912	0.6056342637	149
975.0367788711	0.6082685971	149
975.0506757850	0.6108649011	149
975.0645676265	0.6132893777	149
975.0784543643	0.6159944212	149
975.0923360149	0.6188833320	149
975.1062125738	0.6215722892	149
975.1200840344	0.6240962089	149
975.1339503906	0.6264655284	149
975.1478116358	0.6292631308	149
975.1616677637	0.6318621963	149
975.1755187680	0.6344244820	149
975.1893646423	0.6368902723	149
975.2032053803	0.6392785746	149
975.2170409758	0.6418961432	149
975.2308714102	0.6447107198	149
975.2446966746	0.6470795773	149
975.2585167774	0.6493052289	149
975.2723317124	0.6519362975	149
975.2861414734	0.6544547672	149
975.2999460540	0.6568812810	149
975.3137454480	0.6590681339	149
975.3275396492	0.6613979742	149
975.3413286514	0.6635356445	149
975.3551124484	0.6660080647	149
975.3688910340	0.6682720566	149
975.3826644019	0.6703528436	149
975.3964325198	0.6727298156	149
975.4101954067	0.6752660038	149
975.4239530574	0.6776889649	149
975.4377054658	0.6798666905	149
975.4514526258	0.6820898282	149
975.4651945313	0.6846216887	149
975.4789311761	0.6874368509	149
975.4926625541	0.6902018313	149
975.5063886592	0.6925443900	149
975.5201094854	0.6949778516	149
975.5338250266	0.6975966091	149
975.5475352634	0.6999772230	149
975.5612401888	0.7024647470	149
975.5749398109	0.7047027752	149
975.5886341238	0.7069607583	149
975.6023231215	0.7092744003	149
975.6160067978	0.7116858207	149
975.6296851470	0.7136426708	149
975.6433581629	0.7156569983	149
975.6570258396	0.7179038304	149
975.6706881711	0.7203666806	149
975.6843451514	0.7229377774	149
975.6979967747	0.7252808809	149
975.7116430070	0.7276075230	149
975.7252838703	0.7300934942	149
975.7389193587	0.7327327589	149
975.7525494662	0.7353783474	149
975.7661741871	0.7375875853	149
975.7797935154	0.7399100280	149
975.7934074453	0.7423641186	149
975.8070159708	0.7451100278	149
975.8206190862	0.7473596028	149
975.8342167856	0.7497926483	149
975.8478090631	0.7520028074	149
975.8613958984	0.7543023954	149
975.8749772864	0.7567216944	149
975.8885532351	0.7590587279	149
975.9021237388	0.7610717443	149
975.9156887915	0.7632358706	149
975.9292483876	0.7655685055	149
975.9428025212	0.7679197208	149
975.9563511867	0.7697429406	149
975.9698943783	0.7718872875	149
975.9834320902	0.7742305382	149
975.9969643168	0.7767212375	149
976.0104910514	0.7795796690	149
976.0240122615	0.7820031578	149
976.0375279690	0.7840737373	149
976.0510381684	0.7865699454	149
976.0645428540	0.7887863871	149
976.0780420200	0.7910861275	149
976.0915356609	0.7933074794	149
976.1050237709	0.7954123589	149
976.1185063446	0.7977130887	149
976.1319833762	0.8002650319	149
976.1454548602	0.8025552410	149
976.1589207909	0.8043572020	149
976.1723811467	0.8065732428	149
976.1858359251	0.8088488675	149
976.1992851334	0.8111085097	149
976.2127287661	0.8136191459	149
976.2261668177	0.8157902849	149
976.2395992826	0.8177750311	149
976.2530261552	0.8200173312	149
976.2664474302	0.8221503008	149
976.2798631018	0.8242957456	149
976.2932731647	0.8265918515	149
976.3066776134	0.8287375312	149
976.3200764403	0.8309730640	149
976.3334696147	0.8331926705	149
976.3468571584	0.8354501058	149
976.3602390659	0.8376582907	149
976.3736153318	0.8398097709	149
976.3869859506	0.8418308813	149
976.4003509170	0.8440926655	149
976.4137102256	0.8461827199	149
976.4270638708	0.8481710183	149
976.4404118474	0.8502326089	149
976.4537541500	0.8524519855	149
976.4670907731	0.8543860128	149
976.4804216940	0.8563919003	149
976.4937469125	0.8582858007	149
