wavelength	blaze	order
977.3340737092	0.6672542852	148
977.3488220763	0.6700605337	148
977.3635651449	0.6729502347	148
977.3783029085	0.6758000171	148
977.3930353607	0.6786029935	148
977.4077624673	0.6813404795	148
977.4224842496	0.6843013797	148
977.4372007011	0.6872154093	148
977.4519118155	0.6901117680	148
977.4666175863	0.6928108000	148
977.4813180071	0.6957080155	148
977.4960130716	0.6984449620	148
977.5107027733	0.7009142220	148
977.5253871060	0.7033074611	148
977.5400660632	0.7059939228	148
977.5547396386	0.7087487489	148
977.5694078114	0.7114382032	148
977.5840705760	0.7137416904	148
977.5987279398	0.7162747056	148
977.6133798965	0.7189175997	148
977.6280264397	0.7215936914	148
977.6426675632	0.7243974989	148
977.6573032607	0.7269304524	148
977.6719335260	0.7295840676	148
977.6865583526	0.7322952035	148
977.7011777345	0.7350846293	148
977.7157916654	0.7377245301	148
977.7304001380	0.7404115791	148
977.7450031196	0.7431149139	148
977.7596006314	0.7459339161	148
977.7741926673	0.7486315626	148
977.7887792211	0.7515030246	148
977.8033602865	0.7540754123	148
977.8179358574	0.7568196391	148
977.8325059276	0.7595992078	148
977.8470704910	0.7622453780	148
977.8616295414	0.7652583912	148
977.8761830728	0.7678532686	148
977.8907310789	0.7705230133	148
977.9052735377	0.7731896916	148
977.9198104461	0.7758366015	148
977.9343418108	0.7784120573	148
977.9488676259	0.7811135032	148
977.9633878852	0.7837204036	148
977.9779025827	0.7863696463	148
977.9924117123	0.7889986604	148
978.0069152679	0.7915133710	148
978.0214132435	0.7937840635	148
978.0359056331	0.7965858700	148
978.0503924307	0.7992727579	148
978.0648736282	0.8019413452	148
978.0793491945	0.8045431712	148
978.0938191506	0.8073536335	148
978.1082834906	0.8102268727	148
978.1227422086	0.8130059620	148
978.1371952986	0.8155955592	148
978.1516427546	0.8181897989	148
978.1660845707	0.8208837989	148
978.1805207410	0.8235942834	148
978.1949512595	0.8260796405	148
978.2093761203	0.8286041515	148
978.2237953175	0.8311927308	148
978.2382088279	0.8344351118	148
978.2526166506	0.8368398221	148
978.2670187920	0.8391581634	148
978.2814152463	0.8417257056	148
978.2958060075	0.8445240776	148
978.3101910698	0.8472383522	148
978.3245704274	0.8496535089	148
978.3389440745	0.8519558912	148
978.3533120052	0.8543290056	148
978.3676742137	0.8568505070	148
978.3820306943	0.8593657493	148
978.3963814379	0.8615518422	148
978.4107264152	0.8636790027	148
978.4250656471	0.8660657184	148
978.4393991279	0.8683923209	148
978.4537268517	0.8704570317	148
978.4680488130	0.8719981445	148
978.4823650058	0.8740981023	148
978.4966754246	0.8764575967	148
978.5109800635	0.8786642211	148
978.5252789170	0.8805205527	148
978.5395719792	0.8822947341	148
978.5538592446	0.8845117448	148
978.5681406885	0.8867123642	148
978.5824163127	0.8887642731	148
978.5966861229	0.8904141540	148
978.6109501136	0.8920704191	148
978.6252082790	0.8939968548	148
978.6394606135	0.8958724939	148
978.6537071115	0.8967266040	148
978.6679477674	0.8982746179	148
978.6821825757	0.9001282878	148
978.6964115306	0.9019642215	148
978.7106346266	0.9037595082	148
978.7248518540	0.9050058914	148
978.7390631849	0.9064754629	148
978.7532686402	0.9085075257	148
978.7674682144	0.9103833031	148
978.7816619018	0.9120137187	148
978.7958496970	0.9133943409	148
978.8100315945	0.9148818689	148
978.8242075887	0.9167894640	148
978.8383776741	0.9186670658	148
978.8525418453	0.9201470914	148
978.8667000968	0.9215714749	148
978.8808524231	0.9233480126	148
978.8949987985	0.9252910414	148
978.9091392270	0.9268590121	148
978.9232737139	0.9283067274	148
978.9374022539	0.9298593005	148
978.9515248413	0.9315736825	148
978.9656414709	0.9334535047	148
978.9797521372	0.9349033432	148
978.9938568348	0.9360922972	148
979.0079555584	0.9376931310	148
979.0220483026	0.9394995885	148
979.0361350619	0.9409396987	148
979.0502158258	0.9421584620	148
979.0642905681	0.9433703600	148
979.0783593096	0.9448897871	148
979.0924220449	0.9466093419	148
979.1064787686	0.9480554939	148
979.1205294755	0.9489386823	148
979.1345741602	0.9501251138	148
979.1486128174	0.9518291607	148
979.1626454419	0.9538960489	148
979.1766720284	0.9552491150	148
979.1906925715	0.9563250816	148
979.2047070662	0.9577012352	148
979.2187154853	0.9593845923	148
979.2327178354	0.9608038762	148
979.2467141213	0.9619049886	148
979.2607043377	0.9629230125	148
